Country Name,Country Code,1992,1995,1996,1997,AVG,2000,2001,2002,AVG,2005,2006,2007,AVG
Cambodia,KHM,-,5.38707902,7.42653701,6.46012542,6.424580483,5.86525812,5.70229312,5.94573973,5.837763657,5.84121965,4.271573,3.49641816,4.536403603
Kiribati,KIR,-,9.39105096,9.20390344,9.3572622,9.317405533,8.12191984,9.00297707,9.10312141,8.742672773,10.05853597,10.92704338,13.65860476,11.54806137
Saint Kitts and Nevis,KNA,-,5.85433464,6.06104992,5.64910189,5.854828817,5.31565597,4.97210133,4.85158469,5.04644733,4.80077315,5.45901566,5.29182061,5.183869807
Republic of Korea,KOR,-,3.67276956,3.87615854,3.86772523,3.80555111,4.22599348,4.75962664,4.61261035,4.53274349,5.32851591,5.75710863,5.98674394,5.690789493
Kosovo,KSV,-,,,,0,,,,0,,,,0
Kuwait,KWT,-,3.72426299,3.46528433,3.69448252,3.628009947,2.50942071,3.60960453,3.56384791,3.227624383,2.37794798,2.25224274,2.13286507,2.25435193
Latin America & Caribbean (developing only),LAC,-,5.951719521,6.037905915,6.067564186,6.019063207,5.954872393,6.110847749,6.129903346,6.065207829,6.9408058,6.935677795,7.070895667,6.982459754
Lao People's Democratic Republic,LAO,-,3.77081641,3.66814697,4.60735372,4.015439033,3.4118284,4.31878741,4.04067662,3.923764143,4.31668409,4.14334297,4.14439212,4.20147306
Lebanon,LBN,-,12.56417697,13.43730633,13.06278796,13.02142375,10.86159292,10.90442335,10.04646111,10.60415913,8.41980531,8.83001398,8.9037559,8.717858397
Liberia,LBR,-,,,,0,5.91313981,6.40765167,5.42610813,5.915633203,8.0358831,10.90408771,10.23524323,9.725071347
Libyan Arab Jamahiriya,LBY,-,3.27753681,3.35009282,3.45644575,3.36135846,3.40765496,4.05766524,4.56836292,4.011227707,2.70538066,2.5091272,2.62642263,2.613643497
Saint Lucia,LCA,-,6.08686468,7.06552219,6.39578175,6.516056207,5.52822822,6.09831345,6.32567716,5.984072943,6.24652588,6.37266722,6.8131974,6.4774635
Latin America & Caribbean (all income levels),LCN,-,6.294250933,6.292744944,6.302867947,6.296621275,6.346019829,6.486293338,6.193992853,6.342102007,6.814395659,6.770256158,6.872574771,6.819075529
Least developed countries: UN classification,LDC,-,4.178332901,4.004640572,3.845308054,4.009427176,3.644535166,4.048776376,4.178828093,3.957379878,4.468621001,4.762749005,4.460891987,4.564087331
Low income,LIC,-,4.542195319,4.615336992,4.612476572,4.590002961,4.447757851,4.983046145,5.316681262,4.915828419,5.679128357,5.97389523,5.525965777,5.726329788
Liechtenstein,LIE,-,,,,0,,,,0,,,,0
Sri Lanka,LKA,-,3.44024607,3.4601004,3.3443674,3.414904623,3.77494054,3.80731091,3.88774826,3.823333237,4.06081747,4.06216396,3.75875181,3.960577747
Lower middle income,LMC,-,3.679782528,3.670210299,3.847950462,3.732647763,3.957311906,4.161118756,4.092913792,4.070448151,4.238989128,4.249853267,4.333018845,4.273953747
Low & middle income,LMY,-,4.620639196,4.683120473,4.841596989,4.715118886,4.932001286,5.046579471,5.1007474,5.026442719,5.332074877,5.284094088,5.262447873,5.292872279
Lesotho,LSO,-,7.4625838,7.49735218,6.71880873,7.226248237,6.91527558,7.52988554,6.90802017,7.117727097,6.29584414,7.11552059,8.46770338,7.293022703
Lithuania,LTU,-,5.37428736,5.58587674,5.73900884,5.56639098,6.45834466,6.26029317,6.39610514,6.37158099,5.83432657,6.19588569,6.22384874,6.084687
Luxembourg,LUX,-,5.56674896,5.65222071,5.59426504,5.60441157,7.47748018,7.40182986,8.26666277,7.71532427,7.94570112,7.74947883,6.79800543,7.49772846
Latvia,LVA,-,5.7641721,6.10366636,6.20315475,6.023664403,6.00426586,6.16677115,6.28923484,6.15342395,6.37415759,6.7991405,7.01215151,6.7284832
"Macao SAR, China",MAC,-,,,,0,,,,0,,,,0
St. Martin (French part),MAF,-,,,,0,,,,0,,,,0
Morocco,MAR,-,3.55457954,3.48780701,3.71017017,3.584185573,4.1805133,4.4385331,5.30833933,4.64246191,5.05803376,5.23396796,5.47518256,5.255728093
Monaco,MCO,-,3.10731995,3.0388671,3.18254295,3.109576667,3.29068143,3.33167925,3.39151509,3.33795859,4.00135654,3.81972113,3.38073993,3.7339392
Republic of Moldova,MDA,-,9.05732076,10.27129346,9.45174817,9.59345413,6.65247796,6.99630753,8.31253703,7.32044084,9.15376162,10.62583313,10.88435311,10.22131595
Madagascar,MDG,-,4.06524309,4.5172219,4.78122195,4.454562313,5.0805986,5.17201954,5.29448848,5.182368873,5.03002085,5.11190088,4.98399653,5.041972753
Maldives,MDV,-,6.02355147,6.37138221,6.38692469,6.260619457,7.9962272,5.83855621,5.77722073,6.537334713,9.52452498,7.37121198,6.64152393,7.84575363
Middle East & North Africa (all income levels),MEA,-,4.244932935,4.214479898,4.417337822,4.292250218,4.612100897,4.959813426,4.987062255,4.852992193,4.325757246,4.224024905,4.290954889,4.28024568
Mexico,MEX,-,5.05567469,4.59296607,4.71655688,4.788399213,4.97854213,5.35288319,5.5210778,5.284167707,6.0443102,5.83217814,5.91563943,5.930709257
Marshall Islands,MHL,-,30.82930435,19.46909558,19.87920653,23.39253549,21.8805911,18.69292677,17.44297261,19.33883016,17.4250474,19.79982033,20.42172636,19.21553136
Middle income,MIC,-,4.621848171,4.684165454,4.845080245,4.71703129,4.94109259,5.04764837,5.09696076,5.02856724,5.326446013,5.273511642,5.258539579,5.286165745
The former Yugoslav Republic of Macedonia,MKD,-,8.38956962,8.60555412,9.08510984,8.693411193,8.52082479,8.18345523,9.01364237,8.572640797,7.95350493,7.61320744,6.89955664,7.488756337
Mali,MLI,-,5.02750196,7.56383734,6.86151044,6.484283247,6.29294165,6.39271264,6.31707332,6.334242537,6.33580578,6.55543828,6.97251095,6.62125167
Malta,MLT,-,5.65594954,6.07280048,6.24602434,5.991591453,6.83173928,7.11463824,7.85889852,7.268425347,8.83355332,8.93281432,8.35676141,8.707709683
Myanmar,MMR,-,2.13968736,2.11617213,1.8029385,2.01959933,1.83678367,1.80049104,2.05040164,1.895892117,1.83009783,1.77640517,1.68461292,1.763705307
Middle East & North Africa (developing only),MNA,-,4.261738122,4.253329852,4.599583843,4.371550606,4.910940771,5.245269472,5.492637243,5.216282495,5.025921347,4.918403751,5.007238733,4.98385461
Montenegro,MNE,-,7.42001049,7.43437225,7.40497515,7.419785963,7.31678384,8.22848975,8.33151401,7.9589292,8.46232483,8.01219061,6.74225066,7.738922033
Mongolia,MNG,-,3.15125386,3.54865902,3.64701684,3.448976573,4.92301762,5.45485747,5.81219045,5.396688513,5.08566386,4.67597361,5.06366434,4.94176727
Northern Mariana Islands,MNP,-,,,,0,,,,0,,,,0
Mozambique,MOZ,-,5.29972329,4.28251783,4.63095397,4.737731697,6.16162092,5.64277897,6.44871089,6.08437026,6.86781935,6.51278626,5.25271234,6.211105983
Mauritania,MRT,-,4.64785334,3.74019295,3.91286043,4.10030224,5.25582483,4.33749659,5.31066019,4.96799387,4.2060502,3.20757593,3.53528514,3.64963709
Mauritius,MUS,-,3.62368934,3.5281114,3.52944008,3.560413607,3.78342769,3.86541671,4.23599832,3.96161424,4.46865768,4.37870539,4.24109725,4.362820107
Malawi,MWI,-,5.04605222,4.61373236,5.15085202,4.936878867,6.06981896,5.07322144,4.82253715,5.321859183,8.20169881,8.99284504,6.66771938,7.954087743
Malaysia,MYS,-,2.9640287,2.93258764,2.72454231,2.87371955,3.03701543,3.39740598,3.40338142,3.27926761,3.29181275,3.65423211,3.60562884,3.517224567
United States of America,NAC,-,12.77892351,12.72747114,12.65620903,12.72086789,12.77462067,13.42979855,14.21712216,13.47384713,14.69827416,14.79304877,15.04172434,14.84434909
Namibia,NAM,-,6.20761231,6.57743022,6.84305465,6.54269906,6.11401617,6.17906153,6.16746382,6.15351384,7.31871061,7.19928741,6.99321064,7.170402887
New Caledonia,NCL,-,,,,0,,,,0,,,,0
Niger,NER,-,6.65027544,6.29984378,6.72678981,6.558969677,6.00536329,7.00950375,6.55041776,6.5217616,7.14963764,7.39442881,6.93941879,7.161161747
Nigeria,NGA,-,2.76977928,2.91602821,2.91599247,2.867266653,2.83703653,3.24623068,2.43166603,2.83831108,4.10629745,3.65686026,4.4733267,4.078828137
Nicaragua,NIC,-,6.48283057,6.40874856,5.26920643,6.053595187,5.38943363,5.25911894,5.71455164,5.45436807,6.11145325,6.33185521,6.91390603,6.45240483
Netherlands,NLD,-,7.44174214,7.47714281,7.47835631,7.465747087,7.42331959,7.79322671,8.34457362,7.85370664,9.59771913,9.35703746,9.35717394,9.437310177
High income: nonOECD,NOC,-,5.440295409,5.319485855,5.799213641,5.519664968,5.484391237,5.632642212,5.026735055,5.381256168,4.623074412,4.655457995,4.734936235,4.671156214
Norway,NOR,-,7.71662839,7.66637874,8.23639913,7.87313542,8.27250866,8.64555138,9.61619197,8.84475067,8.89402506,8.43055064,8.58441414,8.636329947
Nepal,NPL,-,5.31416561,5.41855,5.49900875,5.410574787,5.42826192,5.36080541,5.60111826,5.463395197,5.72405361,5.69674996,5.84111345,5.75397234
New Zealand,NZL,-,6.94847197,6.89050912,7.09832031,6.979100467,7.47004809,7.57891522,7.8905146,7.646492637,8.24881468,8.64627633,8.35417746,8.416422823
High income: OECD,OEC,-,9.33239582,9.4582412,9.588080855,9.459572625,10.00438891,10.50527319,10.93828021,10.48264744,11.18857248,11.2394068,11.23561301,11.22119743
OECD members,OED,-,9.228155265,9.335329897,9.445711384,9.336398849,9.827951316,10.32734894,10.74884189,10.30138072,10.99308156,11.03167785,11.02664475,11.01713472
Oman,OMN,-,3.64642839,3.55728518,3.35538558,3.519699717,3.07275935,3.08303075,3.18048539,3.11209183,2.58713523,2.31084657,2.42579068,2.441257493
Other small states,OSS,-,4.497290095,4.522184853,4.547338267,4.522271072,4.593217199,4.814560885,5.014516411,4.807431498,4.807145626,4.737492503,4.599816805,4.714818311
